sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.1,1000,1,5
2,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.2,1000,1,5
3,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.3,1000,1,5
4,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.4,1000,1,5
5,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.5,1000,1,5
6,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1,1000,1,5
7,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1.5,1000,1,5
8,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,2,1000,1,5
9,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1000,1000,1,5
