sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeExpectancy,TradeExpectancy(Cost),Profit,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,Profit(Cost),Profiercent(Cost),DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),AvgHoldingPeriod,Calmar
1,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.1,1000,1,5,78,81,6520.9023,-274.0,9492.805,-274.0,4746.4023,-59.85401,2.4691358,2.0075862407684326,1.3207460641860962,4764.338,9492.805,-61.40866,1.2820513,2.0075862407684326,2283.329,-3.1237926,1.2820513,9402.13,-92.45196,1.3207463,626.7778,-0.124169596
2,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.2,1000,1,5,70,73,6520.9023,-866.8496,9492.805,-1140.8496,4746.4023,-112.756355,2.739726,1.1857554912567139,0.933777928352356,1487.1035,9492.805,-116.02466,1.4285715,1.1857554912567139,-666.7666,-14.276218,1.4285715,9402.13,-145.92604,0.93377954,732.274,-0.3946352
3,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.3,1000,1,5,64,67,6520.9023,-866.8496,9492.805,-1140.8496,4746.4023,-142.53165,2.9850745,1.0246366262435913,0.8474045991897583,228.24805,9492.805,-147.05646,1.5625,1.0246367454528809,-1693.0576,-19.129791,1.5625,9402.13,-176.11409,0.84740615,827.1194,-0.4694169
4,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.4,1000,1,5,63,66,6520.9023,-866.8496,9492.805,-1140.8496,4746.4023,-176.02917,3.030303,0.8426164388656616,0.7190594673156738,-1773.0625,9492.805,-181.70753,1.5873017,0.8426164984703064,-3673.4375,-26.237,1.5873017,9402.13,-210.89626,0.71906096,855.8788,-0.54820937
5,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,0.5,1000,1,5,58,62,6520.9023,-866.8496,9492.805,-1140.8496,4746.4023,-197.66942,3.2258062,0.8003939390182495,0.696769118309021,-2367.3604,9492.805,-208.07307,1.7241379,0.8003939390182495,-4091.75,-30.056328,1.7241379,9402.13,-236.73474,0.6967699,926.129,-0.581599
6,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1,1000,1,5,41,47,10026.051,-1187.1016,16546.953,-1559.1523,8273.477,-346.22125,4.255319,1.062066674232483,0.983040452003479,966.9971,16546.953,-389.4989,2.4390242,1.062066674232483,-283.9414,-23.092735,2.4390242,16459.805,-418.59366,0.9830419,1419.7234,-0.36059478
7,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1.5,1000,1,5,29,35,10026.051,-1187.1016,16519.602,-1812.1016,8259.801,-498.97278,5.714286,1.003249168395996,0.9522202610969543,53.5,16519.602,-588.0751,3.4482758,1.0032490491867065,-824.5254,-27.361153,3.4482758,16432.44,-616.3202,0.9522207,1971.8857,-0.40306717
8,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,2,1000,1,5,23,30,10026.051,-1187.1016,19598.652,-1946.8516,9799.326,-539.76965,6.666667,1.2967603206634521,1.2424838542938232,4485.1016,19598.652,-686.97955,4.347826,1.2967602014541626,3808.1768,-21.492695,4.347826,19513.031,-713.857,1.242484,2417.7,-0.30411577
9,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-20,-1,0,1000,FALSE,1000,1000,1000,1000,1000,1,5,1,2,28824.9,28800.25,57625.15,0.0,28812.574,NaN,100.0,NaN,NaN,57625.15,57625.15,NaN,100.0,NaN,57558.54,304.57516,100.0,57558.54,NaN,NaN,54868.5,Infinity
